44
33	27	28	25
33	25	33	20
28	30	26	27
33	30	28	22
28	30	38	22
23	27	33	30
23	25	25	40
28	25	33	27
31	32	28	27
33	21	19	40
33	20	23	35
33	25	33	22
32	33	23	30
21	23	33	28
33	23	26	23
27	36	22	24
22	29	22	36
28	35	23	25
23	27	23	40
38	25	18	30
25	35	18	35
36	37	18	20
28	25	30	30
23	40	28	20
25	35	23	30
23	34	29	27
23	34	29	27
23	34	29	27
25	35	28	25
27	29	28	29
21	35	27	30
23	32	38	25
43	20	28	20
33	35	20	25
23	30	23	37
28	29	21	35
19	40	31	21
23	25	33	32
33	25	23	30
28	29	27	29
25	25	26	35
21	29	33	30
33	22	28	30
28	30	20	40
